A site #1,A site #2,A site #3,B site #1,B site #2,B site #3,Number of elements,energy_above_hull (meV/atom),formation_energy (eV/atom),num_of_atoms_host_Asite0,host_Asite0_Heat of Vaporization,host_Bsite0_at. wt.,host_Bsite0_Ionization Energy (kJ/mol),shannon_radii_AB_avg,Density_AB_avg,BCCefflatcnt_AB_avg,BCCvolume_padiff_AB_avg,GSenergy_pa_AB_avg,covalent radius_AB_avg,Ionization Energy (kJ/mol)_AB_avg,Electron Affinity (kJ/mol)_AB_avg,MendeleevNumber_AB_avg,thermal conductivity_AB_avg,at. wt._AB_diff,specific heat capacity_AB_diff,electrical conductivity_AB_diff,BCCefflatcnt_AB_ratio,Ionization Energy (kJ/mol)_AB_ratio,Heat of Vaporization_AB_ratio,Asite_At. Radius   (angstroms)_weighted_avg,Bsite_ BP (K)_weighted_avg,Bsite_At. Radius   (angstroms)_weighted_avg,Bsite_Second Ionization Potential  (V)_weighted_avg,Bsite_electrical conductivity_weighted_avg,Asite_Ionic Radius (angstroms)_max,Asite_BCCenergy_pa_max,Asite_Atomic Radius (Å)_max,Asite_At. Radius   (angstroms)_max,Bsite_ BP (K)_max,Bsite_At. Radius   (angstroms)_max,Bsite_First Ionization Potential (V)_max,Bsite_Third Ionization Potential  (V)_max,Asite_shannon_radii_min,Asite_BCCenergy_pa_min,Asite_At. Radius   (angstroms)_min,Bsite_MendeleevNumber_min,Bsite_n_ws^third_min,Asite_shannon_radii_range,Asite_IsPnictide_weighted_avg,Asite_IsRareEarth_weighted_avg,Asite_NfUnfilled_weighted_avg,Asite_NfValence_weighted_avg,Bsite_At. #_weighted_avg,Bsite_IsMetal_weighted_avg,Bsite_NdUnfilled_weighted_avg,Bsite_NpUnfilled_weighted_avg,host_Asite0_IsBCC,host_Asite0_OrbitalD,host_Bsite0_IsHexagonal
Ba,Pr,,Ta,Fe,,5,281.1024426,-2.300012335,4,140.2,180.9479,761,1.03675,9.818,7.769080022,0.05375,-7.154298428,1.55625,636.7625,25,31.375,39.3125,-5.2769125,-0.009375,-3.3625,1.445670026,0.674423956,0.369326303,2.715,5053.25,1.9975,4.045,8.875,1.42,-1.92352226,2.22,2.76,5730,2.09,7.89,30.651,1.2,-4.64853984,2.67,48,1.63,0.41,0,0.5,5.5,1.5,61.25,1,6.25,0,1,0,0
Ba,Pr,,Ta,Ni,,5,367.6244316,-2.222287483,4,140.2,180.9479,761,1.0175,9.94625,7.760337592,0.055,-6.811903454,1.55375,633.9375,35.875,32.125,40.625,-5.6327125,-0.00875,-3.7875,1.4496596,0.679471471,0.365331273,2.715,5048.75,1.9725,4.542,9.725,1.42,-1.92352226,2.22,2.76,5730,2.09,7.89,35.17,1.2,-4.64853984,2.67,48,1.63,0.41,0,0.5,5.5,1.5,61.75,1,5.75,0,1,0,0
Ba,Pr,,Ta,Co,,5,280.8764698,-2.309389655,4,140.2,180.9479,761,1.033125,10.430625,7.832212635,0.0659375,-7.301849675,1.56625,636.7875,30.125,31.125,39.13125,-13.28860625,0.0116875,-3.5875,1.417498865,0.674379622,0.341868662,2.715,5406.625,2.0375,2.1325,9.325,1.42,-1.92352226,2.22,2.76,5730,2.09,7.89,33.5,1.2,-4.64853984,2.67,48,1.63,0.41,0,0.5,5.5,1.5,67.25,1,6.5,0,1,0,0
Ba,Pr,,Ta,Fe,,5,286.014919,-2.29652069,4,140.2,180.9479,761,1.039625,10.3665,7.835370677,0.05375,-7.377168126,1.566875,636.86875,27.25,30.9375,37.89375,-13.09571875,0.0099375,-3.16875,1.416118483,0.674235578,0.343345738,2.715,5391.625,2.04375,2.0225,8.4875,1.42,-1.92352226,2.22,2.76,5730,2.09,7.89,30.651,1.2,-4.64853984,2.67,48,1.63,0.41,0,0.5,5.5,1.5,67.125,1,6.625,0,1,0,0
Ba,Pr,,Ta,Ni,,5,299.6924848,-2.291491514,4,140.2,180.9479,761,1.03,10.430625,7.830999462,0.054375,-7.205970639,1.565625,635.45625,32.6875,31.3125,38.55,-13.27361875,0.01025,-3.38125,1.41802986,0.67674852,0.34160932,2.715,5389.375,2.03125,2.271,8.9125,1.42,-1.92352226,2.22,2.76,5730,2.09,7.89,35.17,1.2,-4.64853984,2.67,48,1.63,0.41,0,0.5,5.5,1.5,67.375,1,6.375,0,1,0,0
Ba,Pr,,Ti,,,4,11.5904985,-2.738592833,4,140.2,47.88,658,1.005,4.86,7.821828973,0.12875,-5.561951615,1.5675,585.475,9.5,28,18.675,45.619425,-0.16225,-0.225,1.422056602,0.779559271,0.556008937,2.715,3560,2,13.58,2.6,1.42,-1.92352226,2.22,2.76,3560,2,6.82,27.491,1.2,-4.64853984,2.67,43,1.52,0.41,0,0.5,5.5,1.5,22,1,8,0,1,0,1
Ba,Pr,,V,,,4,57.14438148,-2.189203706,4,140.2,50.9415,650,0.9925,5.645,7.555668201,0.05375,-6.1439684,1.5175,581.475,24.5,29.5,23.075,44.088675,-0.14525,-0.925,1.549786285,0.789153846,0.529247817,2.715,3650,1.92,14.65,4,1.42,-1.92352226,2.22,2.76,3650,1.92,6.74,29.31,1.2,-4.64853984,2.67,46,1.64,0.41,0,0.5,5.5,1.5,23,1,7,0,1,0,0
Ba,Pr,,Zr,Co,,5,77.8684422,-2.252837764,4,140.2,91.224,660,1.015,6.4425,7.754251479,-0.00875,-5.58092498,1.56,610.975,29.5,32,38.4,32.020125,-0.0755,-3.975,1.452449999,0.72348378,0.490589334,2.715,3912.5,1.915,15.095,10.1,1.42,-1.92352226,2.22,2.76,4682,2.16,7.86,33.5,1.2,-4.64853984,2.67,44,1.41,0.41,0,0.5,5.5,1.5,33.5,1,5.5,0,1,0,1
Ba,Pr,,Zr,Fe,,5,126.7773445,-2.350017906,4,140.2,91.224,660,1.041,6.186,7.766883648,-0.0575,-5.882198784,1.5625,611.3,18,31.25,33.45,32.791675,-0.0825,-2.3,1.446670266,0.722821109,0.503010638,2.715,3852.5,1.94,14.655,6.75,1.42,-1.92352226,2.22,2.76,4682,2.16,7.87,30.651,1.2,-4.64853984,2.67,44,1.41,0.41,0,0.5,5.5,1.5,33,1,6,0,1,0,1
Ba,Pr,,Zr,Ni,,5,199.6845686,-2.030911452,4,140.2,91.224,660,1.0025,6.4425,7.749398788,-0.055,-5.197408836,1.5575,605.65,39.75,32.75,36.075,32.080075,-0.08125,-3.15,1.454682601,0.734517076,0.488460744,2.715,3843.5,1.89,15.649,8.45,1.42,-1.92352226,2.22,2.76,4682,2.16,7.635,35.17,1.2,-4.64853984,2.67,44,1.41,0.41,0,0.5,5.5,1.5,34,1,5,0,1,0,1
Ba,Pr,,Zr,Co,,5,47.36934588,-2.653410311,4,140.2,91.224,660,1.03875,6.14375,7.958341342,-0.08875,-5.764121156,1.59625,598.725,27,30.25,28.7375,27.983775,-0.057625,-2.025,1.364382083,0.749379109,0.440908243,2.715,4297.25,2.0375,14.1125,6.2,1.42,-1.92352226,2.22,2.76,4682,2.16,7.86,33.5,1.2,-4.64853984,2.67,44,1.41,0.41,0,0.5,5.5,1.5,36.75,1,6.75,0,1,0,1
Ba,Pr,,Zr,Fe,,5,202.2839484,-2.532370382,4,140.2,91.224,660,1.05175,6.0155,7.964657426,-0.113125,-5.914758058,1.5975,598.8875,21.25,29.875,26.2625,28.36955,-0.061125,-1.1875,1.361826648,0.749023473,0.445855728,2.715,4267.25,2.05,13.8925,4.525,1.42,-1.92352226,2.22,2.76,4682,2.16,7.87,30.651,1.2,-4.64853984,2.67,44,1.41,0.41,0,0.5,5.5,1.5,36.5,1,7,0,1,0,1
Ba,Pr,,Zr,Ni,,5,128.4488656,-2.53275103,4,140.2,91.224,660,1.0325,6.14375,7.955914996,-0.111875,-5.572363084,1.595,596.0625,32.125,30.625,27.575,28.01375,-0.0605,-1.6125,1.365366314,0.755254537,0.440046533,2.715,4262.75,2.025,14.3895,5.375,1.42,-1.92352226,2.22,2.76,4682,2.16,7.635,35.17,1.2,-4.64853984,2.67,44,1.41,0.41,0,0.5,5.5,1.5,37,1,6.5,0,1,0,1
Ba,Pr,,Zr,Co,,5,165.7784332,-2.696801584,4,140.2,91.224,660,1.050625,5.994375,8.060386273,-0.12875,-5.855719244,1.614375,592.6,25.75,29.375,23.90625,25.9656,-0.0486875,-1.05,1.324235215,0.763034585,0.419659182,2.715,4489.625,2.09875,13.62125,4.25,1.42,-1.92352226,2.22,2.76,4682,2.16,7.86,33.5,1.2,-4.64853984,2.67,44,1.41,0.41,0,0.5,5.5,1.5,38.375,1,7.375,0,1,0,1
Ba,Pr,,Zr,Fe,,5,175.5693978,-2.68701062,4,140.2,91.224,660,1.057125,5.93025,8.063544315,-0.1409375,-5.931037695,1.615,592.68125,22.875,29.1875,22.66875,26.1584875,-0.0504375,-0.63125,1.323030423,0.762850185,0.421887129,2.715,4474.625,2.105,13.51125,3.4125,1.42,-1.92352226,2.22,2.76,4682,2.16,7.87,30.651,1.2,-4.64853984,2.67,44,1.41,0.41,0,0.5,5.5,1.5,38.25,1,7.5,0,1,0,1
Ba,Pr,,Zr,Ni,,5,211.4768238,-2.651103194,4,140.2,91.224,660,1.0475,5.994375,8.0591731,-0.1403125,-5.759840208,1.61375,591.26875,28.3125,29.5625,23.325,25.9805875,-0.050125,-0.84375,1.324698624,0.766068662,0.419268455,2.715,4472.375,2.0925,13.75975,3.8375,1.42,-1.92352226,2.22,2.76,4682,2.16,7.635,35.17,1.2,-4.64853984,2.67,44,1.41,0.41,0,0.5,5.5,1.5,38.5,1,7.25,0,1,0,1
Ba,Sm,,Fe,,,4,157.7155851,-1.658645778,4,140.2,55.847,759.3,1.0295,5.522,7.32556057,0.085,-5.801967654,1.485,641.125,11.5,35.5,48.025,43.999,-0.12425,-4.625,1.636114628,0.688726459,0.47472103,2.675,3023,1.72,16.18,11.2,1.42,-1.92352226,2.22,2.76,3023,1.72,7.87,30.651,1.24,-4.5732413,2.59,55,1.77,0.37,0,0.5,4,3,26,1,4,0,1,0,0
Ba,Sm,,Mn,,,4,107.9750668,-1.848396578,4,140.2,54.938,717.4,1.022,5.305,7.306436938,0.096206897,-6.169508099,1.485,620.175,-0.5,34,11.835,44.4535,-0.13975,0.725,1.647451847,0.72895177,0.755051424,2.675,2235,1.79,15.64,0.5,1.42,-1.92352226,2.22,2.76,2235,1.79,7.435,33.667,1.24,-4.5732413,2.59,52,1.61,0.37,0,0.5,4,3,25,1,5,0,1,0,0
Ba,Sn,,Fe,,,4,468.0346095,-0.988624603,4,140.2,55.847,759.3,0.922,6.662,7.141020397,-2.01375,-5.613884518,1.4325,682.525,29.25,49.75,61.35,36.0865,-0.1165,-2.725,1.569707553,0.797774266,0.615979971,2.24,3023,1.72,16.18,11.2,1.42,-1.92352226,2.22,2.76,3023,1.72,7.87,30.651,0.81,-3.89492544,1.72,55,1.77,0.8,0,0,0,0,26,1,4,0,1,0,0
Ba,Sn,,Zr,Fe,Hf,6,85.23364294,-2.325448895,4,140.2,91.224,660,0.959,6.49025,7.827398918,-2.20125,-5.815863277,1.554375,637.95625,37.5,45,36.2125,15.1549375,-0.0330625,1.1,1.258792782,0.903885252,0.378226315,2.24,4498.75,2.105,13.735625,3.55,1.42,-1.92352226,2.22,2.76,4875,2.16,7.87,30.651,0.81,-3.89492544,1.72,44,1.41,0.8,0,0,0,0,42.25,1,7.5,0,1,0,1
Ba,Sn,,Zr,Fe,,5,137.1260589,-2.255023519,4,140.2,91.224,660,0.959625,6.06525,7.83322862,-2.2084375,-5.727841978,1.555,639.08125,40.625,44.9375,36.19375,20.6090625,-0.0416875,1.16875,1.256678662,0.900860707,0.384180236,2.24,4474.625,2.105,13.51125,3.4125,1.42,-1.92352226,2.22,2.76,4682,2.16,7.87,30.651,0.81,-3.89492544,1.72,44,1.41,0.8,0,0,0,0,38.25,1,7.5,0,1,0,1
Ba,Sr,,Al,Fe,,5,127.825789,-1.525814779,4,140.2,55.847,759.3,1.0733125,5.146125,7.715294435,-0.3025,-4.760572318,1.558125,631.39375,-41.6875,32.875,55.3825,30.11809125,-0.1266875,-5.30625,1.720606265,0.714375414,0.404924561,2.605,2987.625,1.7075,16.511,14.5125,1.42,-1.67793991,2.22,2.76,3023,1.72,7.87,30.651,1.44,-1.92352226,2.45,55,1.39,0.17,0,0,0,0,24.375,1,3.5,0.625,1,0,0
Ba,Sr,,Al,Fe,,5,149.8500945,-1.610721839,4,140.2,55.847,759.3,1.067125,4.82275,7.772244271,-0.275,-4.47681849,1.55875,620.0375,-40.375,34,65.1825,31.9221825,-0.154875,-6.9625,1.686733386,0.737103835,0.413798253,2.605,2952.25,1.695,16.842,17.825,1.42,-1.67793991,2.22,2.76,3023,1.72,7.87,30.651,1.44,-1.92352226,2.45,55,1.39,0.17,0,0,0,0,22.75,1,3,1.25,1,0,0
Ba,Sr,,Al,Fe,,5,198.1066642,-1.775521959,4,140.2,26.98154,577.6,1.05475,4.176,7.886143943,-0.22,-3.909310835,1.56,597.325,-37.75,36.25,84.7825,35.530365,-0.21125,-10.275,1.622837112,0.787194255,0.432765891,2.605,2881.5,1.67,17.504,24.45,1.42,-1.67793991,2.22,2.76,3023,1.72,7.87,30.651,1.44,-1.92352226,2.45,55,1.39,0.17,0,0,0,0,19.5,1,2,2.5,1,0,0
Ba,Sr,,Al,Fe,,5,206.1582362,-1.976239579,4,140.2,26.98154,577.6,1.042375,3.52925,8.000043614,-0.165,-3.34180318,1.56125,574.6125,-35.125,38.5,104.3825,39.1385475,-0.267625,-13.5875,1.563605142,0.844588901,0.453555937,2.605,2810.75,1.645,18.166,31.075,1.42,-1.67793991,2.22,2.76,3023,1.72,7.87,30.651,1.44,-1.92352226,2.45,55,1.39,0.17,0,0,0,0,16.25,1,1,3.75,1,0,0
Ba,Sr,,Al,,,4,212.3025211,-2.174054949,4,140.2,26.98154,577.6,1.03,2.8825,8.113943285,-0.11,-2.774295525,1.5625,551.9,-32.5,40.75,123.9825,42.74673,-0.324,-16.9,1.508544732,0.91101108,0.476444292,2.605,2740,1.62,18.828,37.7,1.42,-1.67793991,2.22,2.76,2740,1.62,5.986,28.447,1.44,-1.92352226,2.45,73,1.39,0.17,0,0,0,0,13,1,0,5,1,0,0
Ba,Sr,,Co,Ni,,5,223.624761,-0.978963373,4,140.2,58.9332,758,1.015,5.9825,7.62822757,-0.27875,-4.058262394,1.55,636.775,-9.75,34,53.1575,26.83085,-0.09025,-6.175,1.775105482,0.704087777,0.369072989,2.605,3074,1.645,17.614,16.25,1.42,-1.67793991,2.22,2.76,3143,1.67,7.86,35.17,1.44,-1.92352226,2.45,58,1.75,0.17,0,0,0,0,27.5,1,2.5,0,1,0,1
Ba,Sr,,Co,Ni,,5,182.220981,-1.078175154,4,140.2,58.9332,758,1.02125,5.9825,7.630653916,-0.255625,-4.250020466,1.55125,639.4375,-14.875,33.625,54.32,26.800875,-0.087375,-6.5875,1.773539995,0.69910652,0.370108188,2.605,3108.5,1.6575,17.337,17.075,1.42,-1.67793991,2.22,2.76,3143,1.67,7.86,35.17,1.44,-1.92352226,2.45,58,1.75,0.17,0,0,0,0,27.25,1,2.75,0,1,0,1
Ba,Sr,,Co,Ni,,5,148.8738869,-1.136549795,4,140.2,58.9332,758,1.024375,5.9825,7.631867089,-0.2440625,-4.345899502,1.551875,640.76875,-17.4375,33.4375,54.90125,26.7858875,-0.0859375,-6.79375,1.772758286,0.696642229,0.370627968,2.605,3125.75,1.66375,17.1985,17.4875,1.42,-1.67793991,2.22,2.76,3143,1.67,7.86,35.17,1.44,-1.92352226,2.45,58,1.75,0.17,0,0,0,0,27.125,1,2.875,0,1,0,1
Ba,Sr,,Co,,,4,122.3160428,-1.188135186,4,140.2,58.9332,758,1.0275,5.9825,7.633080261,-0.2325,-4.441778538,1.5525,642.1,-20,33.25,55.4825,26.7709,-0.0845,-7,1.771977266,0.694195251,0.37114921,2.605,3143,1.67,17.06,17.9,1.42,-1.67793991,2.22,2.76,3143,1.67,7.86,33.5,1.44,-1.92352226,2.45,58,1.75,0.17,0,0,0,0,27,1,3,0,1,0,1
Ba,Sr,,Cu,,,4,288.4865628,-0.840356079,4,140.2,63.456,745.4,1.1275,6.0125,7.688236972,-0.325,-2.741911375,1.5575,635.8,4.15,36.25,205.9825,24.5095,-0.0665,-28.4,1.737180951,0.705929702,0.461064892,2.605,2840,1.57,20.292,60.7,1.42,-1.67793991,2.22,2.76,2840,1.57,7.726,36.83,1.44,-1.92352226,2.45,64,1.47,0.17,0,0,0,0,29,1,0,0,1,0,0
Ba,Sr,,Fe,Co,,5,120.4035296,-1.223204721,4,140.2,58.9332,758,1.034,5.918375,7.636238304,-0.2446875,-4.517096988,1.553125,642.18125,-22.875,33.0625,54.245,26.9637875,-0.08625,-6.58125,1.769947397,0.694046461,0.374130831,2.605,3128,1.67625,16.95,17.0625,1.42,-1.67793991,2.22,2.76,3143,1.72,7.87,33.5,1.44,-1.92352226,2.45,55,1.75,0.17,0,0,0,0,26.875,1,3.125,0,1,0,1
Ba,Sr,,Fe,Ni,,5,242.9654649,-0.861297737,4,140.2,58.6934,736.7,1.012125,5.918375,7.627746094,-0.325625,-3.845943737,1.54875,632.8625,-4.9375,34.375,50.17625,27.0687,-0.0963125,-5.1375,1.775416461,0.711537811,0.370454545,2.605,3007.25,1.6325,17.9195,14.175,1.42,-1.67793991,2.22,2.76,3023,1.72,7.87,35.17,1.44,-1.92352226,2.45,55,1.75,0.17,0,0,0,0,27.75,1,2.25,0,1,0,0
Ba,Sr,,Fe,Co,,5,123.7540164,-1.253011256,4,140.2,58.9332,758,1.0405,5.85425,7.639396346,-0.256875,-4.592415439,1.55375,642.2625,-25.75,32.875,53.0075,27.156675,-0.088,-6.1625,1.767922173,0.693897735,0.377160746,2.605,3113,1.6825,16.84,16.225,1.42,-1.67793991,2.22,2.76,3143,1.72,7.87,33.5,1.44,-1.92352226,2.45,55,1.75,0.17,0,0,0,0,26.75,1,3.25,0,1,0,1
Ba,Sr,,Fe,Cu,,5,253.560446,-0.983566989,4,140.2,63.456,745.4,1.1155,5.87675,7.680763879,-0.32625,-3.317515068,1.5575,637.5375,-7.6375,35.125,165.8825,25.460625,-0.0745,-22.2125,1.741815199,0.702653981,0.443005596,2.605,2885.75,1.6075,19.264,48.325,1.42,-1.67793991,2.22,2.76,3023,1.72,7.87,36.83,1.44,-1.92352226,2.45,55,1.47,0.17,0,0,0,0,28.25,1,1,0,1,0,0
Ba,Sr,,Fe,Ni,,5,228.1696994,-0.945850413,4,140.2,58.6934,736.7,1.02175,5.85425,7.632117309,-0.32625,-4.017141224,1.55,634.275,-10.375,34,49.52,27.2466,-0.096625,-4.925,1.772597143,0.708830067,0.373954116,2.605,3009.5,1.645,17.671,13.75,1.42,-1.67793991,2.22,2.76,3023,1.72,7.87,35.17,1.44,-1.92352226,2.45,55,1.75,0.17,0,0,0,0,27.5,1,2.5,0,1,0,0
Ba,Sr,,Fe,Co,,5,126.79849,-1.316280827,4,140.2,55.847,759.3,1.0535,5.726,7.645712431,-0.28125,-4.743052341,1.555,642.425,-31.5,32.5,50.5325,27.54245,-0.0915,-5.325,1.763885596,0.693600475,0.383370227,2.605,3083,1.695,16.62,14.55,1.42,-1.67793991,2.22,2.76,3143,1.72,7.87,33.5,1.44,-1.92352226,2.45,55,1.75,0.17,0,0,0,0,26.5,1,3.5,0,1,0,0
Ba,Sr,,Fe,Cu,,5,218.9463975,-1.123257899,4,140.2,55.847,759.3,1.1035,5.741,7.673290786,-0.3275,-3.89311876,1.5575,639.275,-19.425,34,125.7825,26.41175,-0.0825,-16.025,1.746474238,0.69940852,0.426307692,2.605,2931.5,1.645,18.236,35.95,1.42,-1.67793991,2.22,2.76,3023,1.72,7.87,36.83,1.44,-1.92352226,2.45,55,1.47,0.17,0,0,0,0,27.5,1,2,0,1,0,0
Ba,Sr,,Fe,Ni,,5,184.9014486,-1.120253015,4,140.2,55.847,759.3,1.041,5.726,7.640859739,-0.3275,-4.359536198,1.5525,637.1,-21.25,33.25,48.2075,27.6024,-0.09725,-4.5,1.766985282,0.703475936,0.381155433,2.605,3014,1.67,17.174,12.9,1.42,-1.67793991,2.22,2.76,3023,1.72,7.87,35.17,1.44,-1.92352226,2.45,55,1.75,0.17,0,0,0,0,27,1,3,0,1,0,0
Ba,Sr,,Fe,Co,,5,117.2491681,-1.385657648,4,140.2,55.847,759.3,1.0665,5.59775,7.652028515,-0.305625,-4.893689243,1.55625,642.5875,-37.25,32.125,48.0575,27.928225,-0.095,-4.4875,1.759867411,0.693303468,0.389787593,2.605,3053,1.7075,16.4,12.875,1.42,-1.67793991,2.22,2.76,3143,1.72,7.87,33.5,1.44,-1.92352226,2.45,55,1.75,0.17,0,0,0,0,26.25,1,3.75,0,1,0,0
Ba,Sr,,Fe,Cu,,5,151.7974405,-1.292659309,4,140.2,55.847,759.3,1.0915,5.60525,7.665817693,-0.32875,-4.468722453,1.5575,641.0125,-31.2125,32.875,85.6825,27.362875,-0.0905,-9.8375,1.751158268,0.696192902,0.410822832,2.605,2977.25,1.6825,17.208,23.575,1.42,-1.67793991,2.22,2.76,3023,1.72,7.87,36.83,1.44,-1.92352226,2.45,55,1.47,0.17,0,0,0,0,26.75,1,3,0,1,0,0
Ba,Sr,,Fe,Ni,,5,137.583441,-1.290163617,4,140.2,55.847,759.3,1.06025,5.59775,7.649602169,-0.32875,-4.701931171,1.555,639.925,-32.125,32.5,46.895,27.9582,-0.097875,-4.075,1.761408843,0.698202083,0.388639551,2.605,3018.5,1.695,16.677,12.05,1.42,-1.67793991,2.22,2.76,3023,1.72,7.87,35.17,1.44,-1.92352226,2.45,55,1.75,0.17,0,0,0,0,26.5,1,3.5,0,1,0,0
Ba,Sr,,Fe,Co,,5,117.2470591,-1.411828183,4,140.2,55.847,759.3,1.073,5.533625,7.655186557,-0.3178125,-4.969007694,1.556875,642.66875,-40.125,31.9375,46.82,28.1211125,-0.09675,-4.06875,1.757865175,0.693155061,0.393077523,2.605,3038,1.71375,16.29,12.0375,1.42,-1.67793991,2.22,2.76,3143,1.72,7.87,33.5,1.44,-1.92352226,2.45,55,1.75,0.17,0,0,0,0,26.125,1,3.875,0,1,0,0
Ba,Sr,,Fe,Cu,,5,119.778837,-1.375804139,4,140.2,55.847,759.3,1.0855,5.537375,7.662081146,-0.329375,-4.756524299,1.5575,641.88125,-37.10625,32.3125,65.6325,27.8384375,-0.0945,-6.74375,1.753509717,0.694596155,0.403494722,2.605,3000.125,1.70125,16.694,17.3875,1.42,-1.67793991,2.22,2.76,3023,1.72,7.87,36.83,1.44,-1.92352226,2.45,55,1.47,0.17,0,0,0,0,26.375,1,3.5,0,1,0,0
Ba,Sr,,Fe,Ni,,5,113.0921079,-1.374539043,4,140.2,55.847,759.3,1.069875,5.533625,7.653973385,-0.329375,-4.873128658,1.55625,641.3375,-37.5625,32.125,46.23875,28.1361,-0.0981875,-3.8625,1.758633802,0.695594699,0.392492918,2.605,3020.75,1.7075,16.4285,11.625,1.42,-1.67793991,2.22,2.76,3023,1.72,7.87,35.17,1.44,-1.92352226,2.45,55,1.75,0.17,0,0,0,0,26.25,1,3.75,0,1,0,0
Ba,Sr,,Fe,,,4,92.54373354,-1.454165469,4,140.2,55.847,759.3,1.0795,5.4695,7.6583446,-0.33,-5.044326145,1.5575,642.75,-43,31.75,45.5825,28.314,-0.0985,-3.65,1.755867491,0.693006717,0.396423462,2.605,3023,1.72,16.18,11.2,1.42,-1.67793991,2.22,2.76,3023,1.72,7.87,30.651,1.44,-1.92352226,2.45,55,1.77,0.17,0,0,0,0,26,1,4,0,1,0,0
Ba,Sr,,Ga,Fe,,5,118.3026576,-1.465192461,4,140.2,55.847,759.3,1.078625,5.34675,7.723260972,-0.38734375,-4.714749329,1.563125,631.46875,-42.6875,32.9375,43.1075,27.44675,-0.093625,-3.0625,1.715786277,0.714229967,0.410129655,2.605,2954.875,1.73125,16.72125,10.025,1.42,-1.67793991,2.22,2.76,3023,1.81,7.87,30.71,1.44,-1.92352226,2.45,55,1.31,0.17,0,0,0,0,26.625,1,3.5,0.625,1,0,0
Ba,Sr,,Ga,Fe,,5,145.1978317,-1.475083202,4,140.2,55.847,759.3,1.07775,5.224,7.788177344,-0.4446875,-4.385172513,1.56875,620.1875,-42.375,34.125,40.6325,26.5795,-0.08875,-2.475,1.677494095,0.736794203,0.424817563,2.605,2886.75,1.7425,17.2625,8.85,1.42,-1.67793991,2.22,2.76,3023,1.81,7.87,30.71,1.44,-1.92352226,2.45,55,1.31,0.17,0,0,0,0,27.25,1,3,1.25,1,0,0
Ba,Sr,,Ga,Fe,,5,202.6896798,-1.491163186,4,140.2,69.723,578.8,1.076,4.9785,7.918010088,-0.559375,-3.726018881,1.58,597.625,-41.75,36.5,35.6825,24.845,-0.079,-1.3,1.605818172,0.786488304,0.457592972,2.605,2750.5,1.765,18.345,6.5,1.42,-1.67793991,2.22,2.76,3023,1.81,7.87,30.71,1.44,-1.92352226,2.45,55,1.31,0.17,0,0,0,0,28.5,1,2,2.5,1,0,0
Ba,Sr,,Ga,Fe,,5,251.7717436,-1.51144167,4,140.2,69.723,578.8,1.07425,4.733,8.047842833,-0.6740625,-3.066865248,1.59125,575.0625,-41.125,38.875,30.7325,23.1105,-0.06925,-0.125,1.540016392,0.843370597,0.495848543,2.605,2614.25,1.7875,19.4275,4.15,1.42,-1.67793991,2.22,2.76,3023,1.81,7.87,30.71,1.44,-1.92352226,2.45,55,1.31,0.17,0,0,0,0,29.75,1,1,3.75,1,0,0
Ba,Sr,,Ga,,,4,289.7129778,-1.532185904,4,140.2,69.723,578.8,1.0725,4.4875,8.177675577,-0.78875,-2.407711616,1.6025,552.5,-40.5,41.25,25.7825,21.376,-0.0595,1.05,1.479395066,0.909122322,0.541084121,2.605,2478,1.81,20.51,1.8,1.42,-1.67793991,2.22,2.76,2478,1.81,5.999,30.71,1.44,-1.92352226,2.45,74,1.31,0.17,0,0,0,0,31,1,0,5,1,0,0
Ba,Sr,,Mn,Co,,5,124.8425724,-1.238353946,4,140.2,58.9332,758,1.0330625,5.89125,7.63384785,-0.243286638,-4.563039544,1.553125,639.5625,-24.375,32.875,49.72125,27.0206,-0.0881875,-5.9125,1.771483462,0.69887439,0.391268127,2.605,3029.5,1.685,16.8825,15.725,1.42,-1.67793991,2.22,2.76,3143,1.79,7.86,33.667,1.44,-1.92352226,2.45,52,1.61,0.17,0,0,0,0,26.75,1,3.25,0,1,0,1
Ba,Sr,,Mn,Fe,,5,97.91858002,-1.474952444,4,140.2,55.847,759.3,1.0785625,5.442375,7.655954146,-0.328599138,-5.090268701,1.5575,640.13125,-44.5,31.5625,41.05875,28.3708125,-0.1004375,-2.98125,1.757379203,0.697820141,0.415716515,2.605,2924.5,1.72875,16.1125,9.8625,1.42,-1.67793991,2.22,2.76,3023,1.79,7.87,33.667,1.44,-1.92352226,2.45,52,1.61,0.17,0,0,0,0,25.875,1,4.125,0,1,0,0
Ba,Sr,,Mn,Ni,,5,251.7034831,-0.875967962,4,140.2,58.6934,736.7,1.0111875,5.89125,7.62535564,-0.324224138,-3.891886293,1.54875,630.24375,-6.4375,34.1875,45.6525,27.1255125,-0.09825,-4.46875,1.776962038,0.716613043,0.387249148,2.605,2908.75,1.64125,17.852,12.8375,1.42,-1.67793991,2.22,2.76,3005,1.79,7.635,35.17,1.44,-1.92352226,2.45,52,1.61,0.17,0,0,0,0,27.625,1,2.375,0,1,0,0
